"Key","Issue Type","Epic","Summary","Description","Phase","Priority","Status","Owner","Estimate","Dependencies","Acceptance Criteria","Source","Built By","Builder Remarks","Agent S Comments","Rollback Notes","Milestone"
"TSP-041","Task","Test Session Engine","Implement test submit API","Finalize session and trigger scoring workflow.","Phase 1","Critical","Done","Codex","TBD","TSP-040","Submit is idempotent and returns score or safe error.","FINAL_TRD Section 11","Codex","Added scoring pure helper/tests, score_session_answer_correct SQL helper, submit_test_session security-definer RPC, and submitSessionAction. RPC asserts auth.uid() owns the session, returns existing result if already scored, reads real answer keys only from frozen question_version_id, writes is_correct/marks_awarded, aggregates result/topic_scores, and transitions the session to scored. Local verification passed by exit status: targeted Vitest, typecheck, lint, full test, build. Live DB migration is blocked by Supabase pooler error: (ENOTFOUND) tenant/user postgres.iwzerbplanzlzwtiiska not found.","","Drop submit_test_session and scoring helper/tests if rollback is needed.","M0 Unblock&Verify"
"TSP-042","Epic","Test Taking UI","Build timed test-taking interface","Users can navigate answer mark confidence autosave and submit tests on desktop and mobile.","Phase 1","Critical","In Progress","Codex","TBD","TSP-034","Test-taking interface works end to end and is resilient to refresh.","FINAL_TRD Section 19.1","Codex","Epic opened for Session 4 M1 playable test work. TSP-044 renderer and TSP-043 shell/timer are implemented locally; navigator grid, confidence, mark-for-review, autosave recovery, and tab-switch logging remain separate backlog rows.","","Keep M1 UI children in Review/Backlog if the test-taking route direction changes.","M1 Playable Test"
"TSP-043","Task","Test Taking UI","Build test shell and timer","Create main test layout with countdown auto-submit and status indicators.","Phase 1","Critical","Review","Codex","TBD","TSP-039","Timer is accurate and auto-submit triggers on expiry.","FINAL_PRD TE-05","Codex","Added /tests launcher, protected /tests/[sessionId] loader, and TestRunner. The runner shows one question at a time, derives countdown from server expires_at plus serverNow, autosaves on answer and navigation through saveAnswerAction, auto-submits at zero, and shows an inline score panel from submitSessionAction. Local verification passed by exit status: answer-shape Vitest, typecheck, lint, full test, and build. Browser smoke with the M0 test student remains before Done.","Sanity 2026-05-31 (Architect): PASS. Timer derives from serverNow + performance.now() so client clock cannot extend session; server rejects expired saves independently. Shell loads only prompt_snapshot - no answer keys reach the client. Owner guard: user_id mismatch -> notFound(). statement/assertion/match render read-only without crash. Non-blocking: N7 (save normalised value too), N8 (null expires_at safer as no-timer). Only browser smoke with M0 test student remains before Done.","Remove src/app/(app)/tests, src/components/test/test-runner.tsx, src/components/test/start-test.tsx, and the Tests nav link if rollback is needed.","M1 Playable Test"
"TSP-044","Task","Test Taking UI","Build question renderer","Render MCQ MSQ integer statement assertion and match question types.","Phase 1","Critical","Review","Codex","TBD","TSP-043","All P0 question types render correctly with media support.","FINAL_PRD TE-01","Codex","Added answer-shape helper/tests and QuestionRenderer. MCQ emits {options:[i]}, MSQ emits stable {options:[i,j]}, and integer emits {integer:n}; statement, assertion, and match snapshots render read-only with a coming-soon note and no crash. Local verification passed by exit status: answer-shape Vitest, typecheck, lint, full test, and build. Browser smoke remains before Done.","Sanity 2026-05-31 (Architect): PASS. Answer-shape parity confirmed: answer-shape.ts emits {options:[i]} for mcq/msq and {integer:n} for integer matching scoring.ts exactly. normalizeSelectedAnswer handles selected_options/value reload aliases. Renderer only builds via makeMcqAnswer/toggleMsqAnswer/makeIntegerAnswer; PromptSnapshot type has no answer fields. Only browser smoke with M0 test student remains before Done.","Remove src/components/test/question-renderer.tsx, src/lib/test-session/answer-shape.ts, and src/tests/unit/answer-shape.test.ts if rollback is needed.","M1 Playable Test"
"TSP-045","Task","Test Taking UI","Build question navigator","Show numbered panel status answered skipped review current and jump behavior.","Phase 1","High","Review","Codex","TBD","TSP-043","User can jump to any question and see status.","FINAL_PRD TE-02","Codex","Added a numbered question navigator with unanswered, answered, review, review-answered, and current states. Prev, Next, and navigator jumps share jumpTo, which saves the full current QuestionState before navigation. Local typecheck, lint, test, and build passed; browser smoke with the M0 plain student remains before Done.","Sanity 2026-05-31 (Architect): PASS. All save paths (answer change, confidence, mark toggle, jumpTo, submit pre-save) send full QuestionState including confidence and markedReview. jumpTo awaits save before setCurrentIndex; Prev/Next and navigator share the same jumpTo function. Initial rehydration correct; normalizeConfidence validates strings. Prop rename initialAnswers->initialQuestionStates complete. Controls disabled when locked. Builder also fixed Prev/Next missing locked gate (pre-existing S4 gap). Non-blocking N9: QuestionState exported from client component - relocate to answer-shape.ts on cleanup. Only browser smoke remains before Done.","Revert src/components/test/question-navigator.tsx and the TestRunner navigator/jumpTo integration if rollback is needed.","M1 Playable Test"
"TSP-046","Task","Test Taking UI","Build confidence control","Allow user to mark sure unsure or guessed per answer.","Phase 1","High","Review","Codex","TBD","TSP-044","Confidence value saves with answer payload.","FINAL_PRD TE-04","Codex","Added Confidence type export, a three-option ConfidenceControl, session answer rehydration for confidence, and unified QuestionState saves so answer, confidence, and review state are sent together on every save path. Local typecheck, lint, test, and build passed; browser smoke with the M0 plain student remains before Done.","Sanity 2026-05-31 (Architect): PASS. See Session 5 Sanity Review. Confidence saves immediately with full QuestionState on every path; rehydrates via normalizeConfidence on page load. Toggle clears to null when active button re-clicked. Disabled when locked. Only browser smoke remains before Done.","Revert src/components/test/confidence-control.tsx plus the Confidence type, TestRunner, and session page confidence plumbing if rollback is needed.","M1 Playable Test"
"TSP-047","Task","Test Taking UI","Build mark for review","Allow user to flag questions during test.","Phase 1","Medium","Review","Codex","TBD","TSP-044","Review flag saves and appears in navigator.","FINAL_PRD TE-03","Codex","Added a mark-for-review toggle in the runner header. The toggle saves immediately with the full QuestionState, rehydrates from session_answers.marked_review, and is reflected in the navigator and summary counts. Local typecheck, lint, test, and build passed; browser smoke with the M0 plain student remains before Done.","Sanity 2026-05-31 (Architect): PASS. See Session 5 Sanity Review. Mark-for-review toggle saves immediately with full QuestionState; rehydrates from session_answers.marked_review on load. State reflected in navigator status (review/review-answered). Disabled when locked. Only browser smoke remains before Done.","Revert the TestRunner marked-review state/toggle and navigator review status integration if rollback is needed.","M1 Playable Test"
"TSP-048","Task","Test Taking UI","Implement client autosave recovery","Use Zustand local backup debounced sync and visible sync status.","Phase 1","Critical","Review","Codex","TBD","TSP-040","Refresh does not lose unsynced answers and user sees sync failures.","FINAL_TRD Section 10.3","Codex","Added persisted Zustand local session backups, server-wins merge recovery, integer debounced saves, flush-before-jump/submit behavior, and revisitIncrement-based revisit_count semantics. QuestionState moved to answer-shape.ts and mergeWithBackup has focused unit coverage. Local session-backup Vitest, typecheck, lint, test, and build passed; browser recovery smoke with the M0 plain student remains before Done.","Sanity 2026-05-31 (Architect): PASS. setBackup called synchronously before async save - crash-safe. mergeWithBackup covers all 5 required cases: server-wins, null-answer backup wins, missing-key backup wins, null backup no-op, overlapping non-null server wins. flushDebouncedSave awaited first in jumpTo and submit. clearBackup only on submit success. revisitIncrement defaults to 1 in saveAnswerAction. Commended: hasHydrated flag via onRehydrateStorage eliminates SSR hydration race; saveStatus:pending + Saved locally label serves AC directly. Non-blocking N10: getBackup in effect deps is safe (stable ref). Only browser smoke remains before Done.","Revert src/lib/test-session/session-backup-store.ts, src/tests/unit/session-backup.test.ts, QuestionState move, TestRunner backup/debounce/revisit changes, and saveAnswerAction revisitIncrement handling if rollback is needed.","M1 Playable Test"
"TSP-049","Task","Test Taking UI","Implement tab switch logging","Log visibility changes without blocking user in Phase 1.","Phase 1","Medium","Review","Codex","TBD","TSP-043","Tab switch count appears in session metadata.","FINAL_PRD TE-10","Codex","Added logTabSwitchAction with owner and in-progress checks. TestRunner now listens for visibilitychange, fire-and-forgets the server action, increments the local tab-switch count, and writes tabSwitches into test_sessions.metadata plus tab_switch_count. Local typecheck, lint, test, and build passed; browser smoke with the M0 plain student remains before Done.","Sanity 2026-05-31 (Architect): PASS. logTabSwitchAction fire-and-forget: void ...catch(()=>undefined) - no await, no blocking. Owner + in-progress check; all errors dropped silently. Also writes tab_switch_count integer column (existing from Session 2 schema) alongside metadata.tabSwitches - no migration needed. Local count shown in status line when >0. Only browser smoke remains before Done.","Revert logTabSwitchAction and the TestRunner visibilitychange listener/status-line tab switch count if rollback is needed.","M1 Playable Test"
"TSP-050","Epic","Scoring Mastery And Readiness","Build deterministic scoring and learning model","Scores mastery readiness confidence and strategy metrics are computed without relying on AI.","Phase 1","Critical","In Progress","Codex","TBD","TSP-034","Submitted tests produce trustworthy results and mastery updates.","FINAL_TRD Sections 11 and 12","Codex","M3 scoring parent epic opened. Session 10 completed TSP-051/TSP-052/TSP-128; Session 11 completed TSP-053/TSP-054; Session 12 completed TSP-055 mastery updates. Readiness and decay rows TSP-056/TSP-057 remain backlog.","","Keep the epic In Progress until deterministic scoring, mastery, readiness, and decay child rows are complete; revert child-row implementations individually if needed.","M3 Scoring&Learning"
"TSP-051","Task","Scoring Mastery And Readiness","Implement marking rules engine","Apply exam-specific marks negative marking and skip logic.","Phase 1","Critical","Done","Codex","TBD","TSP-041 TSP-018","Scores match exam manifest rules in unit tests.","FINAL_TRD Section 11","Codex","Implemented the new TypeScript scoring module's marking rules layer with DEFAULT_MARKING_RULE, applyMarkingRule, and buildMarkingRuleFromManifest. Manifest parsing accepts numeric strings/numbers with the SQL-matching decimal regex, falls back to defaults for invalid or negative values, and carries valid noNegativeForTypes string arrays only. Verification passed: targeted marking-rules Vitest, typecheck, lint, full test, and build. No SQL or browser gate for this TypeScript-only slice.","PASS. Regex /^[0-9]+(\\.[0-9]+)?$/ dot correctly escaped. noNegativeForTypes parsed from manifest; mixed arrays and null ignored. DEFAULT_MARKING_RULE={2,0.33} confirmed unchanged. parseManifestNumber validates numeric inputs via String() conversion catching negatives. No circular imports.","Remove src/lib/scoring/marking-rules.ts and the Session 10 marking tests if this additive scoring layer is rolled back.","M3 Scoring&Learning"
"TSP-052","Task","Scoring Mastery And Readiness","Implement answer evaluation by type","Evaluate MCQ MSQ integer statement assertion and match answers.","Phase 1","Critical","Done","Codex","TBD","TSP-051","All question types have passing unit tests.","FINAL_TRD Section 21","Codex","Implemented explicit answer evaluation for mcq, msq, integer, statement, assertion, and match in src/lib/scoring/answer-eval.ts plus scoreQuestion/scoreSession aggregation in src/lib/scoring/score-session.ts. MSQ is all-or-nothing, match comparison is order-independent, statement/assertion are explicit single-choice branches, and malformed multi-option selected answers for single-choice types return null rather than a penalty. Verification passed: targeted marking-rules Vitest, typecheck, lint, full test, and build.","PASS. All 6 types have explicit test cases. Match order-independent via sortByJson+arraysEqual. MCQ multi-select answer→null; multi-correct content→false. MSQ partial→false. Early length check for match avoids sort on obvious mismatch. No import from test-session/scoring.","Remove src/lib/scoring/answer-eval.ts and src/lib/scoring/score-session.ts if this additive scoring layer is rolled back.","M3 Scoring&Learning"
"TSP-053","Task","Scoring Mastery And Readiness","Compute result aggregates","Create topic concept difficulty source and overall result metrics.","Phase 1","Critical","Done","Codex","TBD","TSP-052","session_results stores score accuracy topic_scores and concept_scores.","FINAL_TRD Section 11.2","Codex","Implemented result aggregates in 202606010003_result_aggregates.sql: added nullable session_results.difficulty_scores and source_scores, expanded submit_test_session to accumulate difficulty_scores/source_scores inside the scoring loop, and compute concept_scores post-loop from question_concepts plus updated session_answers. Added Drizzle schema sync for difficultyScores/sourceScores and result-types.ts. Live migration, grant check, and existing test-session smoke passed; Sanity review remains before Done.","PASS. ADD COLUMN IF NOT EXISTS confirmed re-runnable. Loop SELECT gains q.difficulty+q.source (NOT NULL; coalesce to 'unknown' is harmless). concept_scores CTE runs post-loop after is_correct/marks_awarded written by loop UPDATE. strategy_metrics SELECT also post-loop. submit_test_session re-granted lines 349-350. ON CONFLICT SET covers all 4 new fields. concept_scores nullable in migration and Drizzle schema (no NOT NULL). Drizzle schema difficultyScores/sourceScores added immediately after topicScores matching migration order. No circular imports in result-types.ts or strategy-metrics.ts.","Revert supabase/migrations/202606010003_result_aggregates.sql, remove difficultyScores/sourceScores from src/lib/db/schema/session.ts, and remove src/lib/scoring/result-types.ts if aggregate support is rolled back. A live rollback would need a follow-up migration to replace submit_test_session with the prior version and optionally drop the two additive columns.","M3 Scoring&Learning"
"TSP-054","Task","Scoring Mastery And Readiness","Compute strategy metrics","Calculate time waste negative marks confidence mismatch attempt order and fatigue signals.","Phase 1","High","Done","Codex","TBD","TSP-053","Result page can display strategy metrics from deterministic features.","FINAL_PRD AI-07","Codex","Implemented strategy_metrics in submit_test_session after answer scoring, including negativeMarksLost, highConfidenceWrong, correctGuessed, totalRevisits, timeOnWrongSec, and timeOnSkippedSec. Added StrategyMetrics types plus computeStrategyMetrics with unit coverage for empty input, skipped handling, negative mark loss, confidence mismatch, guessed correct answers, revisit totals, timing buckets, and mixed sessions. Verification passed locally and live DB migration/grant/smoke gates passed; Sanity review remains before Done.","PASS. computeStrategyMetrics: isCorrect===false guard correctly excludes skipped (null) from negativeMarksLost; SQL CASE WHEN is_correct=false mirrors this. Empty input returns all-zero defaults via reduce initial value confirmed by test. SQL uses abs(coalesce(marks_awarded,0)) for nullable DB column; TypeScript uses Math.abs on non-nullable ScoredAnswerInput.marksAwarded. Mixed-session test covers all 6 fields with toEqual. strategy-metrics.ts imports only from ./result-types; no @/lib/test-session/scoring import.","Revert supabase/migrations/202606010003_result_aggregates.sql and remove src/lib/scoring/strategy-metrics.ts plus src/tests/unit/strategy-metrics.test.ts if strategy metrics are rolled back. A live rollback would need a follow-up migration to replace submit_test_session with the prior version.","M3 Scoring&Learning"
"TSP-055","Task","Scoring Mastery And Readiness","Implement mastery update job","Update topic and concept mastery from session results.","Phase 1","Critical","Done","Codex","TBD","TSP-053","Mastery changes after submit and respects confidence weighting.","FINAL_TRD Section 12.1","Codex","Session 12 completion implemented the Supabase mastery repository adapter, submitSessionAction non-fatal mastery wire-up, duplicate-submit skip for already-scored sessions, and scripts/smoke-mastery-update.js. Migration 202606010004_mastery_records.sql applied live. Verification passed: node --check scripts/smoke-mastery-update.js; corepack pnpm typecheck; corepack pnpm lint; corepack pnpm test; corepack pnpm build; node run-migrations.js; node scripts/check-rpc-grants.js; node scripts/smoke-mastery-update.js. Live smoke created 2 topic mastery rows and 2 concept mastery rows, verified owner user_id, row shape, low first-attempt confidence, and unchanged rows on duplicate submit.","","Revert supabase/migrations/202606010004_mastery_records.sql and delete src/lib/scoring/mastery-types.ts src/lib/scoring/compute-mastery.ts src/lib/jobs/handlers/update-mastery.ts src/lib/jobs/handlers/update-mastery-supabase.ts src/lib/db/schema/learning.ts src/tests/unit/compute-mastery.test.ts scripts/smoke-mastery-update.js; remove the submitSessionAction mastery imports and post-submit update block.","M3 Scoring&Learning"
"TSP-056","Task","Scoring Mastery And Readiness","Implement readiness score and confidence","Compute weighted readiness and data confidence per exam.","Phase 1","High","Done","Claude Sonnet 4.6","2026-06-02","TSP-055","Dashboard shows readiness score with confidence and explanation drivers.","FINAL_PRD Dashboard","Claude Sonnet 4.6","Session 13: pure formula readiness.ts (weightedMasterySum x benchmarkFactor x recencyFactor, confidence from coverage+benchmark+avgTopicConfidence, stale topics surfaced) + Supabase query helper readiness-query.ts (3 non-fatal queries) + 12 unit tests. No migration. All gates passed. S13-A non-blocking: benchmarkError returns zero-readiness instead of hasBenchmark=false — over-pessimistic on hiccup, fix in future cleanup.","PASS. All 12 spec cases covered. Uncovered topics contribute mastery=0 via normalizedWeights loop. Zero-sum guard returns zeroReadiness. Recency floor at 0.80 confirmed by 10-stale test. All 3 queries degrade to zeroReadiness on error. nowMs injectable confirmed.","Delete src/lib/scoring/readiness.ts src/lib/scoring/readiness-query.ts src/tests/unit/readiness.test.ts to roll back. No migration to revert.","M3 Scoring&Learning"
"TSP-057","Task","Scoring Mastery And Readiness","Implement forgetting curve decay","Decay stale mastery records nightly and surface stale-topic warning.","Phase 1.5","Medium","Done","Codex","TBD","TSP-055","Topics not tested recently show retention warning after configured threshold.","FINAL_TRD Section 12.2","Codex","Added computeDecayedMastery with deterministic unit coverage and a pg_cron-backed apply_mastery_decay security-definer job scheduled nightly at 02:00. The SQL preserves last_tested_at as the actual test timestamp and uses updated_at as the decay checkpoint to avoid reapplying the same elapsed interval on duplicate cron runs.","","Drop the decay cron job with cron.unschedule('decay-mastery-nightly'), drop public.apply_mastery_decay(), and remove supabase/migrations/202606030002_mastery_decay.sql plus src/lib/adaptive/mastery-decay.ts and its test if rollback is needed.","M3 Scoring&Learning"
"TSP-058","Epic","Mistake Notebook And Retests","Build mistake recovery system","Wrong skipped guessed bookmarked and overconfident answers become review and retest items.","Phase 1","Critical","Backlog","Unassigned","TBD","TSP-050","Users can review and resolve mistakes through retesting.","FINAL_PRD Section 7.8","","","","","M4 Dashboard&Retention"
"TSP-059","Task","Mistake Notebook And Retests","Create mistake and retest schema","Add mistake_items retest_queue and fsrs_cards tables.","Phase 1","Critical","Done","Codex","TBD","TSP-035","Schema supports mistake statuses and scheduler state.","FINAL_TRD Section 6.5","Codex","Session 14 added 202606020001_mistake_notebook.sql with mistake_items and retest_queue tables, owner RLS policies, authenticated grants, required indexes, unique mistake item idempotency key, retest topic/concept XOR check, and retest_queue updated_at trigger. Migration gate passed with node run-migrations.js. FSRS cards intentionally deferred to TSP-064 per Session 14 plan.","","Drop public.mistake_items and public.retest_queue, plus indexes/policies created by supabase/migrations/202606020001_mistake_notebook.sql, or restore from a pre-migration database snapshot.","M4 Dashboard&Retention"
"TSP-060","Task","Mistake Notebook And Retests","Create mistake items after submit","Generate mistake notebook rows from wrong skipped guessed and high-confidence wrong answers.","Phase 1","Critical","Done","Codex","TBD","TSP-053 TSP-059","Mistake notebook updates automatically after result creation.","FINAL_PRD MN-01","Codex","Session 14 added classifyMistake and createMistakeItemsJob, 12 pure classification unit tests, scripts/smoke-mistake-items.js, and non-fatal submitSessionAction wiring after mastery. Verification passed: targeted Vitest, typecheck, lint, test, build, and live smoke with 4 mistake rows for overconfidence, conceptual_gap, not_attempted, and lucky_guess plus duplicate-run/duplicate-submit idempotency.","","Delete src/lib/jobs/handlers/create-mistake-items.ts src/tests/unit/mistake-classification.test.ts scripts/smoke-mistake-items.js and remove the createMistakeItemsJob import and post-submit try/catch block from src/app/test/actions.ts.","M4 Dashboard&Retention"
"TSP-061","Task","Mistake Notebook And Retests","Build Mistake Notebook page","List group filter and review unresolved mistakes by exam topic concept and type.","Phase 1","High","Done","Gemini (Builder)","TBD","TSP-060","User can view and manage unresolved mistakes.","FINAL_PRD MN-02","Gemini (Builder)","Created query helper fetchMistakeItems (resolving topic/concept names batched and extracting question stems best-effort), resolveMistakeAction server action, unresolved mistakes page layout (exam select, status/type filters, grouped by topic), and MistakeItemRow client component using useActionState with resolve forms. Rechecks compiling, lint, tests, and build.","","delete src/lib/mistakes/, src/app/mistakes/, src/app/(app)/mistakes/, src/components/mistakes/, and revert the (app)/layout.tsx nav link","M4 Dashboard&Retention"
"TSP-062","Task","Mistake Notebook And Retests","Implement simple retest scheduler","Create due retests based on priority recency and repeated failure.","Phase 1","High","Done","Codex","TBD","TSP-060","Retest queue creates due items and updates after completion.","FINAL_TRD Section 13.1","Codex","Session 15 added pure simple scheduler functions, 15 scheduler unit tests, updateRetestQueueJob, non-fatal submitSessionAction wiring after mastery and mistake jobs, and scripts/smoke-retest-queue.js. Verification passed: targeted Vitest, typecheck, lint, test, build, and live smoke with 4 due retest_queue rows, simple scheduler state, overconfidence highest priority, and idempotent rerun behavior.","","Delete src/lib/adaptive/simple-scheduler.ts src/tests/unit/simple-scheduler.test.ts src/lib/jobs/handlers/update-retest-queue.ts scripts/smoke-retest-queue.js and remove the updateRetestQueueJob import and post-submit try/catch block from src/app/test/actions.ts.","M4 Dashboard&Retention"
"TSP-063","Task","Mistake Notebook And Retests","Create concept retest sessions","Generate retest sessions from due mistake concepts and similar questions.","Phase 1","High","Done","Codex","TBD","TSP-037 TSP-062","User can start a retest from mistake notebook or dashboard.","FINAL_PRD MN-03","Codex","Session 18 added startRetestAction, DueRetests, and dashboard wiring so users can start a concept_retest session from due retest rows and redirect into the existing test runner. Session 19 resolved the S18-A selection-quality caveat by routing concept_retest through select_topic_practice_questions with selected_by_reason = concept_retest_balanced. Verification passed: typecheck, lint, test, and build. Browser verification was not possible because the dev server is blocked in this OneDrive workspace. Remaining known gaps: retest_queue status is not updated and due-retest labels do not include names.","Session 32 closed the queue-status gap: concept_retest submit now marks retest_queue.status='completed' via metadata.retestQueueId linkage.","Remove startRetestAction exports from src/app/dashboard/actions.ts, delete src/components/dashboard/due-retests.tsx, remove DueRetests from src/app/(app)/dashboard/page.tsx, and revert supabase/migrations/202606030001_concept_retest_routing.sql if rollback is needed.","M4 Dashboard&Retention"
"TSP-064","Task","Mistake Notebook And Retests","Implement FSRS scheduler adapter","Add FSRS implementation behind scheduler interface.","Phase 1.5","Medium","Backlog","Unassigned","TBD","TSP-062","FSRS state updates correctly in unit tests.","FINAL_TRD Section 13.2","","","","","M4 Dashboard&Retention"
"TSP-065","Epic","AI Analysis And Generation","Build grounded AI feedback and content generation","AI explains tests and drafts questions but deterministic systems own scoring.","Phase 1","Critical","In Progress","Codex","TBD","TSP-050","AI workflows are versioned retryable and reviewable.","FINAL_PRD Sections 7.4 and 7.9","Codex","Session 21 opened M5 with the AI gateway and analysis schema slice.","","","M5 AI&Workers"
"TSP-066","Task","AI Analysis And Generation","Implement AI gateway abstraction","Create provider abstraction with logging tokens cost model and prompt version.","Phase 1","Critical","Done","Codex","TBD","TSP-006","All AI calls go through gateway and write cost ledger.","FINAL_TRD Section 14.1","Codex","Session 21 added the append-only llm_cost_ledger migration with owner/admin RLS, AI config kill switch constants, gateway types, Groq pricing/hash helpers, native-fetch callAi with injectable fetch and non-fatal ledger writes, 15 AI gateway/cost unit tests, and scripts/smoke-ai-gateway.js. Verification passed: targeted Vitest, typecheck, lint, test, build, node run-migrations.js, to_regclass('public.llm_cost_ledger') check, and live Groq smoke on llama-3.3-70b-versatile.","","Drop public.llm_cost_ledger and its indexes/policies/grants, delete src/lib/ai/config.ts src/lib/ai/types.ts src/lib/ai/cost.ts src/lib/ai/gateway.ts src/tests/unit/ai-cost.test.ts src/tests/unit/ai-gateway.test.ts scripts/smoke-ai-gateway.js, and remove AI_DISABLED from .env.example if rollback is needed.","M5 AI&Workers"
"TSP-067","Task","AI Analysis And Generation","Create analysis prompt schemas","Define structured input output schemas for post-test analysis.","Phase 1","High","Done","Codex","TBD","TSP-066 TSP-054","LLM output validates against schema before saving.","FINAL_TRD Section 14.2","Codex","Session 21 added versioned post-test analysis zod input/output schemas, validateAnalysisOutput, and buildAnalysisMessages with grounding guardrails that forbid score recomputation and invention. Added 6 analysis schema/prompt tests. Verification passed with the Session 21 targeted Vitest, typecheck, lint, full test, and build gates.","","Delete src/lib/ai/schemas/analysis.ts and src/tests/unit/analysis-schema.test.ts if rollback is needed.","M5 AI&Workers"
"TSP-068","Task","AI Analysis And Generation","Implement generate analysis job","Generate question explanations topic summaries mistake classifications and recommendations.","Phase 1","Critical","Done","Codex","TBD","TSP-067 TSP-053","Analysis completes asynchronously and persists to ai_analyses.","FINAL_PRD AI-02","Codex","Session 22 added ai_analyses persistence, store-injected generateAnalysisJob, defensive question context extraction, non-fatal submit wire-up, and unit coverage; live migration and table verification passed.","Drop public.ai_analyses and the question_versions_read_scored_session policy; remove the analysis job modules, tests, and submit action dynamic import.","","M5 AI&Workers"
"TSP-069","Task","AI Analysis And Generation","Build analysis result UI","Show question-wise explanations topic summaries strategy insights and actions.","Phase 1","High","Done","Claude","TBD","TSP-068","User can view deterministic result immediately and AI analysis when ready.","FINAL_PRD Section 7.9","Claude","Session 23 added client-safe AnalysisView types, server toAnalysisView mapper with read-time revalidation, getSessionAnalysisAction polling action, AnalysisPanel (completed/running/failed/disabled/absent with bounded polling + manual refresh), TestRunner question-label wiring via shared extractStem, and server-side initial analysis load on revisit. typecheck and lint pass clean; vitest and next build BLOCKED by OneDrive node_modules hydration (errno -4094), need hydrated/elevated rerun.","","Remove analysis-view.ts, analysis-read.ts, analysis-panel.tsx, analysis-read.test.ts; revert extractStem export, getSessionAnalysisAction, and TestRunner/page.tsx analysis wiring.","M5 AI&Workers"
"TSP-070","Task","AI Analysis And Generation","Add explanation rating and reporting","Allow thumbs up down and report issue categories for AI explanations.","Phase 1","High","Done","Claude","TBD","TSP-069","Reported explanations appear in admin review.","FINAL_PRD AI-09 AI-10","Claude","Session 24 added explanation_ratings table (owner/admin RLS, no delete, upsert on unique scope key), pure rating-helpers validators, rateExplanationAction with ownership check + upsert, self-contained ExplanationRating widget wired to all three analysis surfaces, resultId threaded through page/TestRunner/AnalysisPanel, and /admin/ai-ratings flagged queue (down-votes only) linked live in admin overview + nav. typecheck and lint pass clean; migration applied live and table+3 policies verified. vitest and next build remain BLOCKED by OneDrive node_modules hydration (errno -4094).","","Drop public.explanation_ratings; remove rating-helpers, ExplanationRating, rateExplanationAction, /admin/ai-ratings page, and revert admin overview/nav + AnalysisPanel/TestRunner/page resultId wiring.","M5 AI&Workers"
"TSP-071","Task","AI Analysis And Generation","Implement improvement plan generation","Generate plan after diagnostic using deterministic weakness map and AI reasoning text.","Phase 1","High","Done","Claude","TBD","TSP-068 TSP-056","Diagnostic completion creates prioritized plan and next actions.","FINAL_PRD Section 7.7","","","schemas/plan.ts + jobs/generate-plan.ts (reuses fetchReadinessScore+buildWeakTopics) + 202606040001_improvement_plans.sql (UNIQUE session_result_id, owner/admin RLS no-delete) + submitSessionAction diagnostic-gated 5th block. Typecheck+lint clean; migration applied+verified live (table/3 policies/4 indexes). vitest+build BLOCKED by OneDrive errno -4094 (env, not code). No plan UI this session (follow-up).","","M5 AI&Workers"
"TSP-072","Task","AI Analysis And Generation","Implement AI question generation workflow","Admin can generate draft questions for review by exam topic concept and difficulty.","Phase 1.5","High","Backlog","Unassigned","TBD","TSP-066 TSP-026","Generated questions are inactive until approved.","FINAL_PRD Section 7.4","","","","","M5 AI&Workers"
"TSP-073","Task","AI Analysis And Generation","Add generation quality gates","Run factual accuracy distractor quality syllabus alignment and duplicate checks.","Phase 1.5","High","Backlog","Unassigned","TBD","TSP-072 TSP-032","Failed quality gates are shown in review queue.","FINAL_PRD QG-04 QG-06","","","","","M5 AI&Workers"
"TSP-074","Task","AI Analysis And Generation","Add adversarial distractor generation","Generate plausible wrong options from common misconception signals.","Phase 1.5","Medium","Backlog","Unassigned","TBD","TSP-073","Generated MCQs include distractor rationale metadata.","FINAL_PRD QG-07","","","","","M5 AI&Workers"
"TSP-075","Epic","Dashboard And Plan","Build user home and progress dashboard","User sees next best action readiness weak topics due retests recent tests and schedule.","Phase 1","Critical","Backlog","Unassigned","TBD","TSP-050 TSP-058","Dashboard helps users know exactly what to do next.","FINAL_PRD Section 7.10","","","","","M4 Dashboard&Retention"
"TSP-076","Task","Dashboard And Plan","Build dashboard overview API","Return readiness weak topics due retests recent tests and upcoming schedule.","Phase 1","Critical","Done","Codex","TBD","TSP-056 TSP-062","Dashboard API returns in target latency with aggregates.","FINAL_TRD Section 20","Codex","Session 16 added fetchDashboardOverview with readiness, weak topics, due retests, recent sessions, unresolved mistake count, and strategy metrics aggregation; added getDashboardOverviewAction with auth and UUID validation; added 16 pure dashboard overview unit tests. Verification passed: targeted Vitest, typecheck, lint, test, and build.","","Delete src/lib/dashboard/overview.ts src/app/dashboard/actions.ts and src/tests/unit/dashboard-overview.test.ts.","M4 Dashboard&Retention"
